filename,size_bytes,size_mb,format,declared,description,omics_type
msigdb_human_c4_computational_geneset.parquet,406170,0.41,parquet,True,Computationally derived gene sets from MSigDB.,general
msigdb_human_c5_ontology_geneset.parquet,6423126,6.42,parquet,True,Ontology-based gene sets from MSigDB.,general
msigdb_human_c6_oncogenic_signature_geneset.parquet,166656,0.17,parquet,True,Oncogenic signatures from MSigDB.,general
msigdb_human_c7_immunologic_signature_geneset.parquet,5124930,5.12,parquet,True,Immunologic signatures from MSigDB.,general
msigdb_human_c8_celltype_signature_geneset.parquet,762458,0.76,parquet,True,Cell type signatures from MSigDB.,scrnaseq
msigdb_human_h_hallmark_geneset.parquet,45321,0.05,parquet,True,Hallmark gene sets from MSigDB.,general
omim.parquet,2115285,2.12,parquet,True,Genetic disorders and associated genes from OMIM.,general
proteinatlas.tsv,36611106,36.61,tsv,True,Protein expression data from Human Protein Atlas.,general
proximity_label-ms.parquet,856099,0.86,parquet,True,Protein interactions via proximity labeling and mass spectrometry.,proteomics
reconstituted_complex.parquet,15137,0.02,parquet,True,Protein complexes reconstituted in vitro.,general
sgRNA_KO_SP_human.txt,379198983,379.2,txt,True,sgRNA knockout data for human.,general
sgRNA_KO_SP_mouse.txt,372277534,372.28,txt,True,sgRNA knockout data for mouse.,general
synthetic_growth_defect.parquet,20585,0.02,parquet,True,Synthetic growth defects from genetic interactions.,general
synthetic_lethality.parquet,42885,0.04,parquet,True,Synthetic lethal interactions.,general
synthetic_rescue.parquet,7170,0.01,parquet,True,Genetic interactions rescuing phenotypes.,general
two-hybrid.parquet,49160,0.05,parquet,True,Protein-protein interactions detected by yeast two-hybrid assays.,general
txgnn_name_mapping.pkl,1618512,1.62,pkl,True,Name mapping for TXGNN.,general
txgnn_prediction.pkl,68272378,68.27,pkl,True,Prediction data for TXGNN.,general
variant_table.parquet,9220367,9.22,parquet,True,Annotated genetic variants table.,general
